iter	Passed	Remaining
0	10	3486
1	21	3463
2	26	2870
3	32	2614
4	40	2591
5	45	2396
6	52	2380
7	62	2447
8	70	2449
9	74	2333
10	81	2315
11	89	2299
12	95	2264
13	112	2464
14	119	2449
15	120	2305
16	127	2282
17	136	2309
18	143	2283
19	152	2307
20	167	2400
21	175	2393
22	186	2420
23	193	2405
24	203	2421
25	211	2411
26	217	2377
27	223	2351
28	229	2322
29	235	2289
30	241	2263
31	253	2293
32	261	2294
33	268	2272
34	273	2245
35	280	2232
36	288	2219
37	305	2280
38	312	2267
39	318	2243
40	324	2223
41	330	2203
42	336	2184
43	358	2265
44	365	2252
45	379	2274
46	384	2250
47	408	2332
48	416	2317
49	422	2299
50	428	2276
51	434	2257
52	450	2288
53	457	2271
54	461	2242
55	466	2217
56	476	2213
57	481	2193
58	487	2174
59	496	2169
60	507	2173
61	513	2152
62	520	2141
63	527	2125
64	532	2105
65	550	2135
66	556	2117
67	562	2099
68	570	2090
69	575	2070
70	584	2067
71	595	2068
72	605	2066
73	611	2049
74	619	2039
75	628	2034
76	637	2028
77	649	2031
78	653	2009
79	658	1992
80	665	1978
81	670	1963
82	676	1949
83	685	1942
84	694	1936
85	700	1923
86	706	1909
87	713	1898
88	719	1883
89	725	1870
90	743	1886
91	751	1877
92	757	1864
93	765	1857
94	771	1844
95	778	1833
96	792	1837
97	800	1830
98	813	1833
99	818	1818
100	824	1804
101	835	1802
102	845	1797
103	853	1788
104	863	1783
105	870	1774
106	890	1789
107	898	1780
108	915	1788
109	920	1774
110	937	1782
111	945	1773
112	952	1761
113	959	1751
114	965	1737
115	986	1752
116	995	1744
117	1000	1730
118	1012	1726
119	1018	1714
120	1037	1723
121	1045	1714
122	1052	1702
123	1061	1695
124	1067	1682
125	1084	1686
126	1091	1675
127	1096	1661
128	1110	1661
129	1116	1649
130	1131	1649
131	1144	1647
132	1152	1637
133	1159	1626
134	1165	1615
135	1178	1611
136	1188	1605
137	1194	1592
138	1199	1579
139	1208	1571
140	1217	1562
141	1237	1568
142	1242	1554
143	1248	1543
144	1257	1534
145	1261	1520
146	1268	1509
147	1277	1502
148	1287	1494
149	1291	1481
150	1296	1468
151	1304	1459
152	1309	1446
153	1329	1450
154	1335	1439
155	1341	1427
156	1347	1415
157	1353	1405
158	1358	1392
159	1363	1380
160	1378	1378
161	1385	1368
162	1394	1360
163	1404	1353
164	1417	1349
165	1435	1349
166	1440	1336
167	1447	1326
168	1453	1316
169	1458	1304
170	1465	1293
171	1474	1286
172	1482	1276
173	1486	1264
174	1491	1252
175	1500	1244
176	1506	1234
177	1516	1226
178	1528	1220
179	1533	1209
180	1539	1199
181	1546	1189
182	1551	1178
183	1557	1168
184	1573	1165
185	1581	1156
186	1588	1146
187	1594	1136
188	1599	1125
189	1604	1114
190	1621	1111
191	1628	1102
192	1632	1091
193	1639	1081
194	1646	1072
195	1651	1061
196	1659	1052
197	1668	1044
198	1677	1036
199	1683	1026
200	1687	1015
201	1695	1007
202	1700	996
203	1709	988
204	1719	981
205	1727	972
206	1732	962
207	1740	954
208	1746	944
209	1751	934
210	1767	930
211	1775	921
212	1780	911
213	1787	901
214	1792	891
215	1797	882
216	1804	873
217	1813	865
218	1826	859
219	1832	849
220	1839	840
221	1844	831
222	1851	821
223	1860	814
224	1870	806
225	1875	796
226	1881	787
227	1887	778
228	1894	769
229	1908	763
230	1915	754
231	1921	745
232	1931	737
233	1936	728
234	1961	726
235	1967	716
236	1972	707
237	1979	698
238	1984	689
239	1992	680
240	2001	672
241	2012	665
242	2017	655
243	2022	646
244	2032	638
245	2040	630
246	2055	624
247	2061	615
248	2066	605
249	2071	596
250	2079	588
251	2083	578
252	2092	570
253	2101	562
254	2109	554
255	2115	545
256	2123	537
257	2128	528
258	2134	519
259	2150	512
260	2165	506
261	2178	498
262	2183	489
263	2190	481
264	2199	473
265	2204	464
266	2218	456
267	2223	447
268	2228	438
269	2242	431
270	2249	423
271	2254	414
272	2258	405
273	2265	396
274	2270	387
275	2276	379
276	2303	374
277	2323	367
278	2328	358
279	2338	350
280	2359	344
281	2365	335
282	2370	326
283	2375	317
284	2387	309
285	2397	301
286	2402	292
287	2407	284
288	2416	275
289	2421	267
290	2430	258
291	2440	250
292	2447	242
293	2453	233
294	2458	225
295	2465	216
296	2470	207
297	2477	199
298	2485	191
299	2495	182
300	2499	174
301	2506	165
302	2514	157
303	2518	149
304	2526	140
305	2534	132
306	2545	124
307	2550	115
308	2555	107
309	2560	99
310	2565	90
311	2580	82
312	2591	74
313	2596	66
314	2601	57
315	2612	49
316	2618	41
317	2633	33
318	2640	24
319	2645	16
320	2650	8
321	2661	0
